date,code,weight
2025-01-31,159362,0.3881
2025-01-31,159512,0.0235
2025-01-31,159770,0.0235
2025-01-31,159790,0.0235
2025-01-31,159796,0.0235
2025-01-31,159806,0.0235
2025-01-31,159840,0.0235
2025-01-31,159934,0.0235
2025-01-31,159981,0.0235
2025-01-31,159985,0.0235
2025-01-31,511030,0.2354
2025-01-31,512560,0.0235
2025-01-31,512670,0.0235
2025-01-31,512710,0.0235
2025-01-31,513350,0.0235
2025-01-31,515030,0.0235
2025-01-31,518600,0.0235
2025-01-31,588020,0.0235
2025-02-28,159362,0.4066
2025-02-28,159512,0.0123
2025-02-28,159735,0.0123
2025-02-28,159757,0.0123
2025-02-28,159766,0.0123
2025-02-28,159796,0.0123
2025-02-28,159806,0.0123
2025-02-28,159834,0.0179
2025-02-28,159840,0.0123
2025-02-28,159843,0.0123
2025-02-28,159928,0.0123
2025-02-28,159934,0.0179
2025-02-28,159981,0.0179
2025-02-28,159985,0.0179
2025-02-28,159996,0.0123
2025-02-28,510630,0.0123
2025-02-28,511190,0.2149
2025-02-28,513230,0.0123
2025-02-28,513350,0.0179
2025-02-28,513590,0.0123
2025-02-28,513970,0.0123
2025-02-28,515030,0.0123
2025-02-28,515710,0.0123
2025-02-28,516390,0.0123
2025-02-28,516550,0.0123
2025-02-28,516590,0.0123
2025-02-28,518600,0.0179
2025-02-28,560880,0.0123
2025-02-28,561100,0.0123
2025-02-28,562510,0.0123
2025-03-31,159386,0.4117
2025-03-31,159609,0.0095
2025-03-31,159625,0.0095
2025-03-31,159735,0.0095
2025-03-31,159766,0.0095
2025-03-31,159790,0.0095
2025-03-31,159834,0.0149
2025-03-31,159843,0.0095
2025-03-31,159857,0.0095
2025-03-31,159863,0.0095
2025-03-31,159928,0.0095
2025-03-31,159934,0.0149
2025-03-31,159981,0.0149
2025-03-31,159985,0.0149
2025-03-31,159996,0.0095
2025-03-31,510630,0.0095
2025-03-31,511190,0.2093
2025-03-31,512600,0.0095
2025-03-31,512930,0.0095
2025-03-31,513230,0.0095
2025-03-31,513350,0.0149
2025-03-31,513590,0.0095
2025-03-31,513970,0.0095
2025-03-31,515070,0.0095
2025-03-31,515710,0.0095
2025-03-31,515980,0.0095
2025-03-31,516900,0.0095
2025-03-31,517400,0.0149
2025-03-31,517800,0.0095
2025-03-31,518600,0.0149
2025-03-31,560880,0.0095
2025-03-31,560980,0.0095
2025-03-31,561100,0.0095
2025-03-31,562510,0.0095
2025-03-31,588730,0.0095
2025-03-31,588760,0.0095
2025-03-31,588790,0.0095
2025-03-31,588930,0.0095
2025-04-30,159321,0.0132
2025-04-30,159322,0.0132
2025-04-30,159386,0.3865
2025-04-30,159512,0.0136
2025-04-30,159587,0.0136
2025-04-30,159698,0.0136
2025-04-30,159780,0.0136
2025-04-30,159783,0.0136
2025-04-30,159796,0.0136
2025-04-30,159806,0.0136
2025-04-30,159834,0.0132
2025-04-30,159840,0.0136
2025-04-30,159934,0.0132
2025-04-30,159981,0.0132
2025-04-30,159985,0.0132
2025-04-30,511190,0.2373
2025-04-30,512930,0.0136
2025-04-30,513350,0.0132
2025-04-30,515030,0.0136
2025-04-30,515070,0.0136
2025-04-30,515980,0.0136
2025-04-30,516550,0.0136
2025-04-30,517400,0.0132
2025-04-30,517800,0.0136
2025-04-30,518600,0.0132
2025-04-30,588120,0.0136
2025-04-30,588730,0.0136
2025-04-30,588760,0.0136
2025-04-30,588790,0.0136
2025-04-30,588930,0.0136
2025-05-31,159217,0.0088
2025-05-31,159303,0.0088
2025-05-31,159386,0.3949
2025-05-31,159587,0.0088
2025-05-31,159615,0.0088
2025-05-31,159647,0.0088
2025-05-31,159698,0.0088
2025-05-31,159780,0.0088
2025-05-31,159783,0.0088
2025-05-31,159834,0.0163
2025-05-31,159837,0.0088
2025-05-31,159858,0.0088
2025-05-31,159859,0.0088
2025-05-31,159883,0.0088
2025-05-31,159934,0.0163
2025-05-31,159938,0.0088
2025-05-31,159981,0.0163
2025-05-31,159985,0.0163
2025-05-31,511190,0.2279
2025-05-31,512930,0.0088
2025-05-31,513200,0.0088
2025-05-31,513290,0.0088
2025-05-31,513350,0.0163
2025-05-31,513700,0.0088
2025-05-31,513780,0.0088
2025-05-31,515070,0.0088
2025-05-31,515980,0.0088
2025-05-31,516820,0.0088
2025-05-31,517400,0.0163
2025-05-31,518600,0.0163
2025-05-31,560260,0.0088
2025-05-31,588120,0.0088
2025-05-31,588250,0.0088
2025-05-31,588700,0.0088
2025-05-31,588730,0.0088
2025-05-31,588760,0.0088
2025-05-31,588790,0.0088
2025-05-31,588860,0.0088
2025-05-31,588930,0.0088
2025-06-30,159321,0.014
2025-06-30,159386,0.3982
2025-06-30,159609,0.0332
2025-06-30,159625,0.0332
2025-06-30,159698,0.0332
2025-06-30,159790,0.0332
2025-06-30,159834,0.014
2025-06-30,159857,0.0332
2025-06-30,159934,0.014
2025-06-30,159981,0.014
2025-06-30,159985,0.014
2025-06-30,511190,0.2242
2025-06-30,512200,0.0332
2025-06-30,513350,0.014
2025-06-30,517400,0.014
2025-06-30,518600,0.014
2025-06-30,560980,0.0332
2025-06-30,561170,0.0332
2025-07-31,159246,0.0237
2025-07-31,159321,0.0145
2025-07-31,159386,0.3915
2025-07-31,159698,0.0237
2025-07-31,159790,0.0237
2025-07-31,159834,0.0145
2025-07-31,159934,0.0145
2025-07-31,159981,0.0145
2025-07-31,159985,0.0145
2025-07-31,511190,0.2317
2025-07-31,512930,0.0237
2025-07-31,513350,0.0145
2025-07-31,515070,0.0237
2025-07-31,515980,0.0237
2025-07-31,517400,0.0145
2025-07-31,517800,0.0237
2025-07-31,518600,0.0145
2025-07-31,588730,0.0237
2025-07-31,588760,0.0237
2025-07-31,588790,0.0237
2025-07-31,588930,0.0237
2025-08-31,159246,0.0109
2025-08-31,159321,0.0144
2025-08-31,159386,0.3932
2025-08-31,159512,0.0109
2025-08-31,159566,0.0109
2025-08-31,159609,0.0109
2025-08-31,159625,0.0109
2025-08-31,159757,0.0109
2025-08-31,159796,0.0109
2025-08-31,159806,0.0109
2025-08-31,159834,0.0144
2025-08-31,159840,0.0109
2025-08-31,159857,0.0109
2025-08-31,159863,0.0109
2025-08-31,159934,0.0144
2025-08-31,159981,0.0144
2025-08-31,159985,0.0144
2025-08-31,511190,0.2298
2025-08-31,512930,0.0109
2025-08-31,513350,0.0144
2025-08-31,515030,0.0109
2025-08-31,515070,0.0109
2025-08-31,515980,0.0109
2025-08-31,516390,0.0109
2025-08-31,517400,0.0144
2025-08-31,517800,0.0109
2025-08-31,518600,0.0144
2025-08-31,560980,0.0109
2025-08-31,561170,0.0109
2025-08-31,562700,0.0109
2025-08-31,588730,0.0109
2025-08-31,588760,0.0109
2025-08-31,588790,0.0109
2025-08-31,588930,0.0109
2025-09-30,159246,0.0102
2025-09-30,159321,0.0115
2025-09-30,159322,0.0115
2025-09-30,159386,0.2285
2025-09-30,159780,0.0102
2025-09-30,159783,0.0102
2025-09-30,159805,0.0102
2025-09-30,159834,0.0115
2025-09-30,159934,0.0115
2025-09-30,159981,0.0115
2025-09-30,159985,0.0115
2025-09-30,511190,0.516
2025-09-30,512930,0.0102
2025-09-30,513350,0.0115
2025-09-30,515070,0.0102
2025-09-30,515980,0.0102
2025-09-30,517400,0.0115
2025-09-30,517800,0.0102
2025-09-30,518600,0.0115
2025-09-30,588120,0.0102
2025-09-30,588390,0.0102
2025-09-30,588660,0.0102
2025-09-30,588730,0.0102
2025-09-30,588760,0.0102
2025-09-30,588790,0.0102
2025-09-30,588930,0.0102
2025-10-31,159246,0.0134
2025-10-31,159321,0.0117
2025-10-31,159322,0.0117
2025-10-31,159386,0.2208
2025-10-31,159790,0.0134
2025-10-31,159834,0.0117
2025-10-31,159934,0.0117
2025-10-31,159981,0.0117
2025-10-31,159985,0.0117
2025-10-31,511190,0.5266
2025-10-31,512930,0.0134
2025-10-31,513350,0.0117
2025-10-31,515070,0.0134
2025-10-31,515980,0.0134
2025-10-31,516070,0.0134
2025-10-31,517400,0.0117
2025-10-31,517800,0.0134
2025-10-31,518600,0.0117
2025-10-31,588730,0.0134
2025-10-31,588760,0.0134
2025-10-31,588790,0.0134
2025-10-31,588930,0.0134
2025-11-30,159246,0.0053
2025-11-30,159285,0.0053
2025-11-30,159295,0.2228
2025-11-30,159321,0.0131
2025-11-30,159735,0.0053
2025-11-30,159766,0.0053
2025-11-30,159780,0.0053
2025-11-30,159783,0.0053
2025-11-30,159834,0.0131
2025-11-30,159843,0.0053
2025-11-30,159928,0.0053
2025-11-30,159934,0.0131
2025-11-30,159981,0.0131
2025-11-30,159985,0.0131
2025-11-30,159996,0.0053
2025-11-30,510630,0.0053
2025-11-30,511190,0.524
2025-11-30,512600,0.0053
2025-11-30,512930,0.0053
2025-11-30,513230,0.0053
2025-11-30,513350,0.0131
2025-11-30,513590,0.0053
2025-11-30,513970,0.0053
2025-11-30,515070,0.0053
2025-11-30,515710,0.0053
2025-11-30,515980,0.0053
2025-11-30,517400,0.0131
2025-11-30,517800,0.0053
2025-11-30,518600,0.0131
2025-11-30,560880,0.0053
2025-11-30,561100,0.0053
2025-11-30,562510,0.0053
2025-11-30,588120,0.0053
2025-11-30,588390,0.0053
2025-11-30,588730,0.0053
2025-11-30,588760,0.0053
2025-11-30,588790,0.0053
2025-11-30,588930,0.0053
2025-12-31,159295,0.4217
2025-12-31,159321,0.011
2025-12-31,159322,0.011
2025-12-31,159735,0.0165
2025-12-31,159766,0.0165
2025-12-31,159790,0.0165
2025-12-31,159834,0.011
2025-12-31,159843,0.0165
2025-12-31,159928,0.0165
2025-12-31,159934,0.011
2025-12-31,159981,0.011
2025-12-31,159985,0.011
2025-12-31,159996,0.0165
2025-12-31,510630,0.0165
2025-12-31,511190,0.1981
2025-12-31,512600,0.0165
2025-12-31,512620,0.0165
2025-12-31,513230,0.0165
2025-12-31,513350,0.011
2025-12-31,513360,0.0165
2025-12-31,513590,0.0165
2025-12-31,513970,0.0165
2025-12-31,515710,0.0165
2025-12-31,517400,0.011
2025-12-31,518600,0.011
2025-12-31,560880,0.0165
2025-12-31,561100,0.0165
2025-12-31,562510,0.0165
