,nav
2025-02-05,999600.0099990001
2025-02-06,1015401.0626647995
2025-02-07,1025723.9836748171
2025-02-10,1027414.5374522367
2025-02-11,1026229.9801888246
2025-02-12,1031822.3240982697
2025-02-13,1026058.9485397666
2025-02-14,1032431.9150181445
2025-02-17,1031361.211162749
2025-02-18,1025390.8281373548
2025-02-19,1035284.1303846881
2025-02-20,1036726.2798908167
2025-02-21,1046622.0028092233
2025-02-24,1043670.0068398376
2025-02-25,1039701.4984744696
2025-02-26,1045000.7476078932
2025-02-27,1045554.882529475
2025-02-28,1027436.1817586247
2025-03-03,1029890.6790648751
2025-03-04,1027248.2972288029
2025-03-05,1029481.9668269597
2025-03-06,1039876.7504118141
2025-03-07,1037430.5620986222
2025-03-10,1035265.237293146
2025-03-11,1034412.9115641471
2025-03-12,1033444.2595393176
2025-03-13,1029832.3961734916
2025-03-14,1048842.6612417973
2025-03-17,1048695.518472713
2025-03-18,1052320.4026742897
2025-03-19,1052200.0251021036
2025-03-20,1046646.271887397
2025-03-21,1034010.6292325757
2025-03-24,1036339.5276496239
2025-03-25,1035253.8083454274
2025-03-26,1034706.3529863778
2025-03-27,1037659.3161253114
2025-03-28,1033875.8597317289
2025-03-31,1027356.4271428899
2025-04-01,1028722.5915358017
2025-04-02,1028059.9942983937
2025-04-03,1022916.9069818753
2025-04-07,956757.895523132
2025-04-08,965088.0176322649
2025-04-09,975420.7975236746
2025-04-10,992144.2266542185
2025-04-11,996885.2350849515
2025-04-14,1000548.5959451067
2025-04-15,999036.3205174729
2025-04-16,999019.0984265929
2025-04-17,1001312.058947021
2025-04-18,1000548.4593997593
2025-04-21,1006395.0961300237
2025-04-22,1006991.0795486264
2025-04-23,1005609.586056101
2025-04-24,1002694.9788606863
2025-04-25,1005066.5312810511
2025-04-28,1001941.2304277566
2025-04-29,1001824.4194305063
2025-04-30,1004503.6081247219
2025-05-06,1015607.3361280342
2025-05-07,1018032.4813297519
2025-05-08,1020714.8814501818
2025-05-09,1017414.358120399
2025-05-12,1024365.7837442713
2025-05-13,1023713.9004979955
2025-05-14,1028685.8451086907
2025-05-15,1018468.7373179967
2025-05-16,1018137.871580253
2025-05-19,1017911.504321181
2025-05-20,1022588.55360719
2025-05-21,1029016.114963667
2025-05-22,1026514.557831427
2025-05-23,1021139.7502637795
2025-05-26,1018455.6386547243
2025-05-27,1013096.4647518715
2025-05-28,1011351.0114466007
2025-05-29,1016746.7999485658
2025-05-30,1012575.4072312198
2025-06-03,1014286.3020519635
2025-06-04,1019952.3352207704
2025-06-05,1022931.8287468541
2025-06-06,1023857.5302188676
2025-06-09,1030238.7191371535
2025-06-10,1027887.2602153015
2025-06-11,1031245.5353957814
2025-06-12,1036775.7767431679
2025-06-13,1030585.5651731632
2025-06-16,1031728.1412557218
2025-06-17,1025631.3708646322
2025-06-18,1027595.9859631198
2025-06-19,1019825.193996346
2025-06-20,1017708.081577148
2025-06-23,1022585.0443237638
2025-06-24,1030169.4108564478
2025-06-25,1040167.0840990954
2025-06-26,1035968.9004740051
2025-06-27,1033966.4532938522
2025-06-30,1041196.6091186854
2025-07-01,1042920.5061996828
2025-07-02,1045656.1111992938
2025-07-03,1049645.4281071436
2025-07-04,1049365.236157688
2025-07-07,1048134.7110407125
2025-07-08,1058509.6730179605
2025-07-09,1057023.453036827
2025-07-10,1061656.7865659776
2025-07-11,1064261.526926031
2025-07-14,1064987.8523940623
2025-07-15,1061639.2080961717
2025-07-16,1060559.5247029425
2025-07-17,1065386.275065677
2025-07-18,1069222.1835059158
2025-07-21,1076698.5914355097
2025-07-22,1085789.8047007606
2025-07-23,1083570.5558576
2025-07-24,1089478.5025887487
2025-07-25,1086599.9316527874
2025-07-28,1085892.10507837
2025-07-29,1088309.5094593342
2025-07-30,1087194.3122799306
2025-07-31,1076351.3985685806
2025-08-01,1067099.2824956854
2025-08-04,1072824.9869477425
2025-08-05,1076561.9391228775
2025-08-06,1082723.1642538863
2025-08-07,1081948.1891767124
2025-08-08,1076753.3518091347
2025-08-11,1082897.596363884
2025-08-12,1090832.4948720613
2025-08-13,1102758.9852262076
2025-08-14,1099084.2206857926
2025-08-15,1108094.6450671204
2025-08-18,1120313.1290857354
2025-08-19,1119877.3957683512
2025-08-20,1134523.161507817
2025-08-21,1132948.1439359265
2025-08-22,1164095.0802946684
2025-08-25,1189868.8483908996
2025-08-26,1184288.0558146501
2025-08-27,1185344.782292239
2025-08-28,1213414.1784718016
2025-08-29,1215622.194355735
2025-09-01,1226442.2793583642
2025-09-02,1215163.7505461911
2025-09-03,1212806.9884075955
2025-09-04,1191251.8718870303
2025-09-05,1224155.2043909077
2025-09-08,1228473.0916532944
2025-09-09,1222626.134098204
2025-09-10,1222090.0198586588
2025-09-11,1246329.0245339049
2025-09-12,1244116.185177791
2025-09-15,1247087.5450794715
2025-09-16,1250333.5572472042
2025-09-17,1257345.136127874
2025-09-18,1247836.1843332306
2025-09-19,1245391.8516312644
2025-09-22,1252227.416578149
2025-09-23,1252819.5522110525
2025-09-24,1267568.390931248
2025-09-25,1276853.150302553
2025-09-26,1265870.4235731186
2025-09-29,1282769.163122003
2025-09-30,1294290.7608525963
2025-10-09,1308065.8183560579
2025-10-10,1287364.3239854719
2025-10-13,1287810.3494765442
2025-10-14,1273760.3812704836
2025-10-15,1282560.5531491942
2025-10-16,1281192.303779238
2025-10-17,1271421.8225503527
2025-10-20,1271649.75321795
2025-10-21,1284650.6855792091
2025-10-22,1280904.9001283806
2025-10-23,1280997.4974107842
2025-10-24,1292381.293087728
2025-10-27,1301448.0844875546
2025-10-28,1297160.2602100575
2025-10-29,1305100.18903131
2025-10-30,1299029.2167363486
2025-10-31,1292130.922642892
2025-11-03,1291907.0441452537
2025-11-04,1282893.2696364212
2025-11-05,1285448.0225130315
2025-11-06,1293574.3738284155
2025-11-07,1292045.3409852586
2025-11-10,1292762.1977757455
2025-11-11,1288444.9263078931
2025-11-12,1287557.3998530474
2025-11-13,1294951.5928848027
2025-11-14,1285557.6685825593
2025-11-17,1282549.194051558
2025-11-18,1279562.6784802512
2025-11-19,1283066.7174635911
2025-11-20,1278816.4165065936
2025-11-21,1263360.31130148
2025-11-24,1265162.1921140049
2025-11-25,1272411.408071774
2025-11-26,1275559.2172045764
2025-11-27,1275006.2567772234
2025-11-28,1278219.260612437
2025-12-01,1285440.4928823982
2025-12-02,1281005.2605264022
2025-12-03,1276859.7826606
2025-12-04,1276810.405478761
2025-12-05,1283030.6410060825
2025-12-08,1290169.2405669983
2025-12-09,1288238.5630488324
2025-12-10,1288630.4871851774
2025-12-11,1280930.8114413456
2025-12-12,1286855.2380814215
2025-12-15,1281872.7335830277
2025-12-16,1270920.2681254135
2025-12-17,1282749.8421831536
2025-12-18,1278915.3775343746
2025-12-19,1282498.125258534
2025-12-22,1293932.883253132
2025-12-23,1295977.0498300074
2025-12-24,1299915.8905508975
2025-12-25,1301470.1215732943
2025-12-26,1301651.0283727462
2025-12-29,1298465.6097074635
2025-12-30,1299161.794119565
2025-12-31,1296851.5768071644
